codePostal;CodeINSEE;BV;Commune;Département;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape
1000;1053;1053;BOURG-EN-BRESSE;AIN;239.0;2400.0;39.6;46.2051520382,5.24602125501;"{""type"": ""Polygon"", ""coordinates"": [[[5.256739653622479, 46.176140043712714], [5.23716312569385, 46.175941581632486], [5.234440771125423, 46.18232808804288], [5.221684122718247, 46.192055022543386], [5.206996949888455, 46.19132318845536], [5.210899046412501, 46.211209893866105], [5.215885446042929, 46.2119416029869], [5.217960376609742, 46.222170698097976], [5.224836605872274, 46.22722522713482], [5.245153212489166, 46.227618759025226], [5.259098068751391, 46.22363114702096], [5.272710900939183, 46.22826959986789], [5.287225820362988, 46.225852623795255], [5.282051687415889, 46.21163290880167], [5.274198590886567, 46.20844806531691], [5.274336847479696, 46.193644219213326], [5.254545009976062, 46.17921947833049], [5.256739653622479, 46.176140043712714]]]}"
1090;1165;69019;FRANCHELEINS;AIN;231.0;1361.0;1.3;46.0735946256,4.81293575559;"{""type"": ""Polygon"", ""coordinates"": [[[4.8005461705815184, 46.05588508100273], [4.796723729896772, 46.06480883269455], [4.782778238323922, 46.07289218173377], [4.770577298639791, 46.06976864308103], [4.76851648622566, 46.08454551455658], [4.798234857145797, 46.08568167482809], [4.817679946104797, 46.083011911514376], [4.832054089089295, 46.081258469805235], [4.840210487265695, 46.084792451597906], [4.851673733435309, 46.07848092873559], [4.853766603242062, 46.06340441465647], [4.850005803907601, 46.06161931119175], [4.827977077599931, 46.06375996720796], [4.8258524440531545, 46.06095688755785], [4.818343929342894, 46.0643561799347], [4.8005461705815184, 46.05588508100273]]]}"
1100;1011;1283;APREMONT;AIN;927.0;1507.0;0.4;46.2054981558,5.65781475272;"{""type"": ""Polygon"", ""coordinates"": [[[5.643941587647793, 46.17785380018121], [5.63460789179276, 46.17903465116904], [5.635413341415854, 46.18472822756686], [5.63187961189263, 46.19785637592902], [5.640564780831715, 46.21735051799465], [5.645385000244714, 46.21986936540783], [5.658422174211911, 46.22452078905908], [5.661120312907494, 46.231161073269384], [5.69405474521747, 46.221321617122946], [5.653300362554238, 46.17987912467083], [5.643941587647793, 46.17785380018121]]]}"
1110;1012;1185;ARANC;AIN;795.0;2172.0;0.30000000000000004;46.0015344029,5.51130637511;"{""type"": ""Polygon"", ""coordinates"": [[[5.480913615331736, 45.970369048287175], [5.472857245976945, 45.98977125715797], [5.47987791820757, 45.99814059280251], [5.483286800651031, 46.02067943611592], [5.517324792353294, 46.02378439232294], [5.527537218455095, 46.01692603885622], [5.550609292940075, 46.0161296811333], [5.554332957205596, 46.0069280404589], [5.5545323808955125, 46.005932483479114], [5.550593550726121, 45.99599353232103], [5.522572938683132, 45.98284555011419], [5.493058479303359, 45.98519300743862], [5.480913615331736, 45.970369048287175]]]}"
1120;1049;69123;LA BOISSE;AIN;230.0;938.0;2.9;45.8446213549,5.02783224111;"{""type"": ""Polygon"", ""coordinates"": [[[5.034721436360044, 45.82548389030086], [5.025070393216434, 45.82617083057053], [5.019810562121375, 45.83137249093924], [5.008077100321504, 45.85347976648619], [4.993575784365616, 45.86278040475408], [4.989317270325662, 45.87053909231366], [5.01285789342513, 45.85802472305108], [5.04140001754251, 45.85277446452333], [5.062025569380678, 45.83863568161393], [5.063272995022617, 45.836496023244266], [5.049020829205156, 45.83895342854841], [5.034721436360044, 45.82548389030086]]]}"
1130;1035;1283;BELLEYDOUX;AIN;953.0;1789.0;0.30000000000000004;46.2530316409,5.78471723698;"{""type"": ""Polygon"", ""coordinates"": [[[5.821485322794618, 46.24112697751778], [5.797946446438143, 46.23588762240461], [5.779635375565002, 46.241211191786626], [5.77174400129394, 46.23718689805533], [5.751421266711327, 46.244915541219434], [5.733674599966808, 46.26376920127291], [5.766032259378865, 46.2683304481398], [5.818279719118344, 46.262867761358926], [5.82626185816283, 46.261714682062724], [5.829383151286695, 46.25197778399194], [5.825770134247121, 46.24262450065164], [5.821485322794618, 46.24112697751778]]]}"
1140;1167;1348;GARNERANS;AIN;186.0;861.0;0.6000000000000001;46.2136224825,4.82843188743;"{""type"": ""Polygon"", ""coordinates"": [[[4.843373578391375, 46.19487366986399], [4.833300257246416, 46.202773797469625], [4.795510001380157, 46.22013914484489], [4.797847471634099, 46.224542747164804], [4.8007408261389095, 46.229658079983366], [4.809611805274483, 46.22749970322795], [4.823310408755703, 46.22964985655479], [4.831321186146429, 46.226242544366144], [4.845960149949332, 46.209288407055965], [4.854666972690771, 46.20664270123301], [4.862148262150357, 46.2042235606358], [4.860921483694114, 46.19789347394169], [4.843373578391375, 46.19487366986399]]]}"
1150;1047;1202;BLYES;AIN;212.0;936.0;0.9;45.8469686113,5.25166055884;"{""type"": ""Polygon"", ""coordinates"": [[[5.246367270108199, 45.82700286046581], [5.23460228133283, 45.84227151967074], [5.234253706168757, 45.84926002021257], [5.227726497781111, 45.85457782838773], [5.224837561305343, 45.85742739144135], [5.257355560336848, 45.86252082826733], [5.278177401950455, 45.85466175819009], [5.269449666721248, 45.846837751173375], [5.258989228543616, 45.828426652515205], [5.246367270108199, 45.82700286046581]]]}"
1160;1151;1004;DRUILLAT;AIN;280.0;2081.0;1.1;46.067579544,5.29361666429;"{""type"": ""Polygon"", ""coordinates"": [[[5.258657738763034, 46.04355883503009], [5.25446333529548, 46.04853398899012], [5.256607099044286, 46.05159029335788], [5.248069029743816, 46.06332689752286], [5.2525152603185195, 46.06477012617742], [5.264014220068756, 46.08346822366505], [5.2876485480867075, 46.09453419994868], [5.291924983539869, 46.080961888273656], [5.310446849110952, 46.075343057117045], [5.335471533711206, 46.086379880367055], [5.340570666313584, 46.07569839488274], [5.3271381776355, 46.06265074252719], [5.327031127411008, 46.0527882815512], [5.319588046138347, 46.04413019769429], [5.312041645142805, 46.04833830836251], [5.2974930367049975, 46.048805240765354], [5.287023805473984, 46.05589955584708], [5.284486896661402, 46.0624189279962], [5.275477606061194, 46.06017673968695], [5.258657738763034, 46.04355883503009]]]}"
1170;1071;1173;CESSY;AIN;525.0;644.0;3.8;46.315689376,6.0779844362;"{""type"": ""Polygon"", ""coordinates"": [[[6.065333556771924, 46.300844518539265], [6.055217471956038, 46.315498719925735], [6.062528159270768, 46.31970901528489], [6.062038308677017, 46.32931041956717], [6.071543441483626, 46.328540899838686], [6.076132245243736, 46.322703761642664], [6.085278219667034, 46.32066310971493], [6.097162145110332, 46.326099061209284], [6.109947693085024, 46.32012743486286], [6.095917605971827, 46.312849709029194], [6.087789511326047, 46.31100669675103], [6.079484338713613, 46.304391762006915], [6.065333556771924, 46.300844518539265]]]}"
1190;1016;1305;ARBIGNY;AIN;185.0;1756.0;0.4;46.4776762988,4.9599416863;"{""type"": ""Polygon"", ""coordinates"": [[[4.989121449016136, 46.459995851388115], [4.979249591840032, 46.458419880711276], [4.9595983859901995, 46.461785131238955], [4.949346577355698, 46.469256427969235], [4.925437675514786, 46.47514722528693], [4.9145222665966095, 46.48137444115636], [4.915284734765844, 46.48823413702976], [4.926993308966075, 46.49925129108522], [4.929616348868829, 46.504079934855255], [4.946612995665171, 46.496766170864554], [4.944947178158358, 46.48992199990434], [5.006941224113237, 46.47812243887054], [5.004721362631256, 46.46526274403991], [5.007557039651781, 46.4626188019034], [4.989121449016136, 46.459995851388115]]]}"
1200;1033;1033;BELLEGARDE-SUR-VALSERINE;AIN;554.0;1544.0;11.7;46.1067901755,5.83202736464;"{""type"": ""Polygon"", ""coordinates"": [[[5.811406026063173, 46.07842941233895], [5.799153792045264, 46.08445416758243], [5.8028197892593845, 46.08904913871035], [5.790304551305902, 46.09786360140802], [5.798791728803002, 46.10072715288128], [5.801419909178896, 46.10730307604621], [5.808673577564402, 46.112097615055724], [5.807865634924565, 46.12213737321666], [5.819936530138953, 46.1280734809161], [5.8253692467505, 46.115539742647734], [5.834044476762005, 46.113422187993145], [5.854790100984619, 46.12244463240173], [5.853062697271762, 46.13258912708188], [5.866646988537699, 46.13683342823912], [5.866263737756223, 46.134707542211245], [5.8676169036185, 46.12116615227379], [5.8604544925285715, 46.10855155024209], [5.863700499174742, 46.09875602147482], [5.855986603988579, 46.0866687564114], [5.8382113333525165, 46.10255025929643], [5.829654151576483, 46.10566542154712], [5.820730754980154, 46.10293210294281], [5.8216929751488635, 46.089896805654156], [5.811406026063173, 46.07842941233895]]]}"
1210;1160;74012;FERNEY-VOLTAIRE;AIN;422.0;478.0;8.0;46.2519789243,6.10826403805;"{""type"": ""Polygon"", ""coordinates"": [[[6.115497909045866, 46.26595921927397], [6.119999511141631, 46.264691384212675], [6.123530937541986, 46.2516625156763], [6.114797371642648, 46.2436020928477], [6.10257058572465, 46.23824982224502], [6.088131043624351, 46.24704168538192], [6.095689180075439, 46.250458966730555], [6.102719084465885, 46.26173039577651], [6.115497909045866, 46.26595921927397]]]}"
1220;1143;1143;DIVONNE-LES-BAINS;AIN;810.0;3374.0;7.9;46.3756333495,6.1158647611;"{""type"": ""Polygon"", ""coordinates"": [[[6.137695387166819, 46.333118540410894], [6.111141714051528, 46.34774275123552], [6.105992429389403, 46.35720126478987], [6.084019504155523, 46.37537039845329], [6.077944159599881, 46.387934385597106], [6.077571289478406, 46.39472108974936], [6.061165247135976, 46.40223650611112], [6.0576939024421, 46.411890677469884], [6.052807407730591, 46.41140874622495], [6.060575448711184, 46.417508619434614], [6.064008481818289, 46.41622698893153], [6.097525559908004, 46.408284070261644], [6.10650314352202, 46.39983942468023], [6.120401058050412, 46.39595456909016], [6.147123634681315, 46.37982824517082], [6.160983978400076, 46.3765520622539], [6.166675760177394, 46.370743662365065], [6.168451151552303, 46.36745905491638], [6.166735914680485, 46.364145263662785], [6.1575517245288545, 46.35186447474131], [6.149210386782581, 46.34307438107748], [6.140283420865683, 46.339896234839664], [6.137695387166819, 46.333118540410894]]]}"
1230;1013;1004;ARANDAS;AIN;749.0;1402.0;0.2;45.8908155275,5.49870439091;"{""type"": ""Polygon"", ""coordinates"": [[[5.5126300434710505, 45.85594277397229], [5.500231234660216, 45.87454305906282], [5.499777455060551, 45.88131918521351], [5.494030597198022, 45.88687882570097], [5.484238505963722, 45.88744582671646], [5.474576522352075, 45.895225615294045], [5.466572868498402, 45.903788202913], [5.463987873358977, 45.913799855279684], [5.472878738451593, 45.914326537360076], [5.474094835270377, 45.92013799717066], [5.478071027878795, 45.92100594026087], [5.490982841720866, 45.914217511733], [5.493429595988131, 45.907532659174215], [5.5058614288543914, 45.90250084200475], [5.516238482804212, 45.89066614098237], [5.526138152399131, 45.8899047698246], [5.531046140366891, 45.884118962596], [5.521700509388444, 45.87271459021113], [5.525215880964729, 45.86301391265422], [5.5126300434710505, 45.85594277397229]]]}"
1240;1069;1053;CERTINES;AIN;254.0;1598.0;1.4;46.1337950959,5.26239539372;"{""type"": ""Polygon"", ""coordinates"": [[[5.293803654936526, 46.111382311076085], [5.284338119528716, 46.11114079489501], [5.262538657095836, 46.11930680356144], [5.239907549440699, 46.11296319177217], [5.235547806609472, 46.12931847946506], [5.238934073498004, 46.135782915208424], [5.234441580179646, 46.14542940072785], [5.246139272732885, 46.14909033394886], [5.248986699253639, 46.15468232963598], [5.257816489337056, 46.15662417464681], [5.279581670174168, 46.15131582148957], [5.286054867643367, 46.15610443973857], [5.290464637022719, 46.15491655251338], [5.28282306573568, 46.14728692393854], [5.28235485650535, 46.13416174440502], [5.288607282632939, 46.11816263201925], [5.292516798465041, 46.11623696423821], [5.293803654936526, 46.111382311076085]]]}"
